{'Ensemble': 1.097049957907078, 'Selective Ensemble': 1.072889237897126, 'Self-(in)consistency': 1.0153196954064552, 'Binomial NLL': 0.39275330746575043, 'dataset': 'ACS'}
{'Ensemble': 1.122035601941582, 'Selective Ensemble': 1.1732164434758339, 'Self-(in)consistency': 1.053998576077516, 'Binomial NLL': 0.40451458470408735, 'dataset': 'ACS'}
{'Ensemble': 1.0813968786405972, 'Selective Ensemble': 1.110281344568579, 'Self-(in)consistency': 1.0241008085603485, 'Binomial NLL': 0.3970737970889761, 'dataset': 'ACS'}
{'Ensemble': 1.0750690184816216, 'Selective Ensemble': 1.0822425567717073, 'Self-(in)consistency': 1.0389545803528057, 'Binomial NLL': 0.3931894308769932, 'dataset': 'ACS'}
{'Ensemble': 1.0573471613067131, 'Selective Ensemble': 1.1036590108906246, 'Self-(in)consistency': 1.024678468946218, 'Binomial NLL': 0.3963797832641464, 'dataset': 'ACS'}
{'Ensemble': 1.0412557770629198, 'Selective Ensemble': 1.0380007647371685, 'Self-(in)consistency': 0.9870588268998604, 'Binomial NLL': 0.3900302045150445, 'dataset': 'ACS'}
{'Ensemble': 1.0764626400121846, 'Selective Ensemble': 1.090804614167264, 'Self-(in)consistency': 1.0041098786741562, 'Binomial NLL': 0.3918756529602867, 'dataset': 'ACS'}
{'Ensemble': 1.0661291076381905, 'Selective Ensemble': 1.0727241569686625, 'Self-(in)consistency': 1.0244288954167473, 'Binomial NLL': 0.3967089352441522, 'dataset': 'ACS'}
{'Ensemble': 1.1069791124983188, 'Selective Ensemble': 1.1555211111768136, 'Self-(in)consistency': 1.086968467975675, 'Binomial NLL': 0.40760381157409686, 'dataset': 'ACS'}
{'Ensemble': 1.1604289388786644, 'Selective Ensemble': 1.2043160734436242, 'Self-(in)consistency': 1.1197308394541394, 'Binomial NLL': 0.4156582972183824, 'dataset': 'ACS'}
{'Ensemble': 0.9028992047589509, 'Selective Ensemble': 0.8763320123519182, 'Self-(in)consistency': 0.8357447128143893, 'Binomial NLL': 0.30726742152837166, 'dataset': 'Adult'}
{'Ensemble': 0.8811189210607381, 'Selective Ensemble': 0.8648567392865214, 'Self-(in)consistency': 0.8070796642488037, 'Binomial NLL': 0.30651761749589423, 'dataset': 'Adult'}
{'Ensemble': 0.8458628696272373, 'Selective Ensemble': 0.8287804919429788, 'Self-(in)consistency': 0.7649051945537755, 'Binomial NLL': 0.29859626749381135, 'dataset': 'Adult'}
{'Ensemble': 0.9009200299139, 'Selective Ensemble': 0.878694820800038, 'Self-(in)consistency': 0.8245246881149567, 'Binomial NLL': 0.3049940146980503, 'dataset': 'Adult'}
{'Ensemble': 0.9096379751720527, 'Selective Ensemble': 0.8828724875766675, 'Self-(in)consistency': 0.8248883904950968, 'Binomial NLL': 0.30577938150060546, 'dataset': 'Adult'}
{'Ensemble': 0.89654170521284, 'Selective Ensemble': 0.8577180596144076, 'Self-(in)consistency': 0.7923276423617257, 'Binomial NLL': 0.30266674603152793, 'dataset': 'Adult'}
{'Ensemble': 0.915910797385973, 'Selective Ensemble': 0.9011767363250197, 'Self-(in)consistency': 0.8533461406636776, 'Binomial NLL': 0.31049457247734, 'dataset': 'Adult'}
{'Ensemble': 0.8932750881403853, 'Selective Ensemble': 0.867524467571866, 'Self-(in)consistency': 0.7878479466080046, 'Binomial NLL': 0.3052878145912056, 'dataset': 'Adult'}
{'Ensemble': 0.9035404184413198, 'Selective Ensemble': 0.8748855917679316, 'Self-(in)consistency': 0.8157265252396744, 'Binomial NLL': 0.3068033829471431, 'dataset': 'Adult'}
